timestamp,RED,IR,GREEN
1772597779.598000,756932.000000,1154095.000000,-15006.000000
1772597779.638000,756996.000000,1154274.000000,-14541.000000
1772597779.678000,757035.000000,1154490.000000,-14093.000000
1772597779.718000,757035.000000,1154465.000000,-13625.000000
1772597779.758000,757073.000000,1154609.000000,-13140.000000
1772597779.798000,757268.000000,1154937.000000,-12578.000000
1772597779.838000,757569.000000,1155474.000000,-11948.000000
1772597779.878000,757733.000000,1155699.000000,-11254.000000
1772597779.918000,757682.000000,1155346.000000,-11272.000000
1772597779.958000,757492.000000,1154918.000000,-12290.000000
1772597779.998000,757588.000000,1154903.000000,-13547.000000
1772597780.038000,757872.000000,1155236.000000,-14665.000000
1772597780.078000,758073.000000,1155552.000000,-15521.000000
1772597780.118000,758190.000000,1155678.000000,-16130.000000
1772597780.158000,758393.000000,1155993.000000,-16515.000000
1772597780.198000,758736.000000,1156450.000000,-16669.000000
1772597780.238000,758904.000000,1156529.000000,-16921.000000
1772597780.278000,758718.000000,1156369.000000,-17267.000000
1772597780.318000,758728.000000,1156388.000000,-17364.000000
1772597780.358000,758879.000000,1156625.000000,-17507.000000
1772597780.398000,759342.000000,1157391.000000,-17372.000000
1772597780.438000,759442.000000,1157574.000000,-17178.000000
1772597780.478000,759652.000000,1157794.000000,-16809.000000
1772597780.518000,759559.000000,1157972.000000,-16373.000000
1772597780.558000,759624.000000,1157965.000000,-15955.000000
1772597780.598000,759633.000000,1157980.000000,-15503.000000
1772597780.638000,759460.000000,1157948.000000,-15019.000000
1772597780.678000,759482.000000,1158003.000000,-14516.000000
1772597780.718000,759797.000000,1158432.000000,-13972.000000
1772597780.758000,760134.000000,1158883.000000,-13281.000000
1772597780.798000,760241.000000,1159216.000000,-12592.000000
1772597780.838000,760311.000000,1159310.000000,-11948.000000
1772597780.878000,760084.000000,1158637.000000,-12196.000000
1772597780.918000,759648.000000,1157901.000000,-13310.000000
1772597780.958000,759440.000000,1157481.000000,-14385.000000
1772597780.998000,759370.000000,1157364.000000,-15251.000000
1772597781.038000,759220.000000,1157214.000000,-16028.000000
1772597781.078000,759153.000000,1157185.000000,-16570.000000
1772597781.118000,759318.000000,1157438.000000,-16763.000000
1772597781.158000,759462.000000,1157612.000000,-16895.000000
1772597781.198000,759274.000000,1157259.000000,-17064.000000
1772597781.238000,758742.000000,1156564.000000,-17417.000000
1772597781.278000,758830.000000,1156715.000000,-17604.000000
1772597781.318000,759242.000000,1157281.000000,-17602.000000
1772597781.358000,759757.000000,1157962.000000,-17314.000000
1772597781.398000,760122.000000,1158466.000000,-16921.000000
1772597781.438000,760478.000000,1158883.000000,-16481.000000
1772597781.478000,760701.000000,1159203.000000,-16107.000000
1772597781.518000,760788.000000,1159393.000000,-15585.000000
1772597781.558000,760695.000000,1159310.000000,-15060.000000
1772597781.598000,760544.000000,1159225.000000,-14489.000000
1772597781.638000,760631.000000,1159441.000000,-13910.000000
1772597781.678000,760925.000000,1159778.000000,-13254.000000
1772597781.718000,761179.000000,1160055.000000,-12638.000000
1772597781.758000,761137.000000,1159706.000000,-12912.000000
1772597781.798000,760908.000000,1159146.000000,-13890.000000
1772597781.838000,760871.000000,1158915.000000,-14948.000000
1772597781.878000,760873.000000,1158966.000000,-15798.000000
1772597781.918000,760855.000000,1158975.000000,-16332.000000
1772597781.958000,761064.000000,1159163.000000,-16728.000000
1772597781.998000,761289.000000,1159571.000000,-16803.000000
1772597782.038000,761250.000000,1159493.000000,-16845.000000
1772597782.078000,760883.000000,1159228.000000,-16982.000000
1772597782.118000,760401.000000,1158446.000000,-17210.000000
1772597782.158000,760503.000000,1158500.000000,-17189.000000
1772597782.198000,760774.000000,1158815.000000,-17061.000000
1772597782.238000,761157.000000,1159479.000000,-16757.000000
1772597782.278000,760979.000000,1159409.000000,-16398.000000
1772597782.318000,760650.000000,1158939.000000,-15865.000000
1772597782.358000,760779.000000,1158995.000000,-15454.000000
1772597782.398000,761176.000000,1159550.000000,-14918.000000
1772597782.438000,761608.000000,1160197.000000,-14402.000000
1772597782.478000,761601.000000,1160239.000000,-13726.000000
1772597782.518000,761693.000000,1160415.000000,-13060.000000
1772597782.585000,761679.000000,1160553.000000,-12421.000000
1772597782.625000,761669.000000,1160548.000000,-11646.000000
1772597782.665000,761807.000000,1160771.000000,-10925.000000
1772597782.705000,761612.000000,1160201.000000,-11116.000000
1772597782.745000,761269.000000,1159425.000000,-12149.000000
1772597782.785000,760987.000000,1158924.000000,-13134.000000
1772597782.825000,760624.000000,1158391.000000,-13991.000000
1772597782.865000,760623.000000,1158395.000000,-14592.000000
1772597782.905000,760538.000000,1158329.000000,-15067.000000
1772597782.945000,760418.000000,1158334.000000,-15356.000000
1772597782.985000,760148.000000,1157994.000000,-15393.000000
1772597783.025000,760015.000000,1157933.000000,-15592.000000
1772597783.065000,759936.000000,1157770.000000,-15758.000000
1772597783.105000,759848.000000,1157600.000000,-15821.000000
1772597783.145000,759768.000000,1157561.000000,-15708.000000
1772597783.185000,759573.000000,1157474.000000,-15424.000000
1772597783.225000,759480.000000,1157470.000000,-15057.000000
1772597783.265000,759620.000000,1157620.000000,-14697.000000
1772597783.305000,759574.000000,1157636.000000,-14232.000000
1772597783.345000,759664.000000,1157692.000000,-13704.000000
1772597783.385000,759870.000000,1157976.000000,-13163.000000
1772597783.425000,759959.000000,1158128.000000,-12541.000000
1772597783.465000,759899.000000,1158231.000000,-11956.000000
1772597783.505000,759864.000000,1158157.000000,-11276.000000
1772597783.545000,759821.000000,1158087.000000,-10504.000000
1772597783.585000,759839.000000,1158199.000000,-9890.000000
1772597783.625000,759675.000000,1157783.000000,-9655.000000
1772597783.665000,759707.000000,1157499.000000,-10346.000000
1772597783.705000,759360.000000,1156971.000000,-11242.000000
1772597783.745000,759422.000000,1156797.000000,-12185.000000
1772597783.785000,760129.000000,1157592.000000,-12687.000000
1772597783.825000,760307.000000,1157822.000000,-13067.000000
1772597783.865000,760560.000000,1158252.000000,-13330.000000
1772597783.905000,760671.000000,1158419.000000,-13282.000000
1772597783.945000,760515.000000,1158193.000000,-13259.000000
1772597783.985000,760058.000000,1157544.000000,-13372.000000
1772597784.025000,760253.000000,1157838.000000,-13469.000000
1772597784.065000,760697.000000,1158497.000000,-13347.000000
1772597784.105000,760934.000000,1158655.000000,-13067.000000
1772597784.145000,760948.000000,1158719.000000,-12706.000000
1772597784.185000,761140.000000,1159072.000000,-12252.000000
1772597784.225000,761470.000000,1159483.000000,-11703.000000
1772597784.265000,762103.000000,1160274.000000,-10509.000000
1772597784.305000,762232.000000,1160526.000000,-9963.000000
1772597784.345000,762568.000000,1160849.000000,-9298.000000
1772597784.385000,762857.000000,1161356.000000,-8510.000000
1772597784.425000,763168.000000,1161724.000000,-7774.000000
1772597784.465000,763183.000000,1161582.000000,-7457.000000
1772597784.505000,762979.000000,1161009.000000,-8065.000000
1772597784.545000,762893.000000,1160815.000000,-8966.000000
1772597784.585000,763021.000000,1160909.000000,-9610.000000
1772597784.625000,763346.000000,1161144.000000,-10083.000000
1772597784.665000,763609.000000,1161492.000000,-10439.000000
1772597784.705000,763865.000000,1161846.000000,-10484.000000
1772597784.745000,764035.000000,1162150.000000,-10375.000000
1772597784.785000,764094.000000,1162111.000000,-10360.000000
1772597784.825000,764181.000000,1162140.000000,-10469.000000
1772597784.865000,764280.000000,1162249.000000,-10335.000000
1772597784.905000,764483.000000,1162542.000000,-10201.000000
1772597784.945000,764533.000000,1162737.000000,-9919.000000
1772597784.985000,764686.000000,1162935.000000,-9595.000000
1772597785.025000,764798.000000,1163193.000000,-9106.000000
1772597785.065000,764993.000000,1163382.000000,-8575.000000
1772597785.105000,765071.000000,1163526.000000,-7978.000000
1772597785.145000,765124.000000,1163593.000000,-7293.000000
1772597785.185000,765215.000000,1163749.000000,-6728.000000
1772597785.225000,765377.000000,1164017.000000,-6104.000000
1772597785.265000,765573.000000,1164257.000000,-5411.000000
1772597785.305000,765606.000000,1164493.000000,-4710.000000
1772597785.345000,765690.000000,1164590.000000,-4026.000000
1772597785.385000,765491.000000,1163871.000000,-4284.000000
1772597785.425000,765341.000000,1163409.000000,-5206.000000
1772597785.465000,765418.000000,1163420.000000,-6160.000000
1772597785.505000,765533.000000,1163577.000000,-6834.000000
1772597785.545000,765794.000000,1163827.000000,-7363.000000
1772597785.585000,765918.000000,1163882.000000,-7793.000000
1772597785.625000,765981.000000,1164063.000000,-7963.000000
1772597785.665000,766044.000000,1164104.000000,-8011.000000
1772597785.705000,766215.000000,1164249.000000,-8066.000000
1772597785.745000,766187.000000,1164302.000000,-8176.000000
1772597785.785000,766272.000000,1164330.000000,-8218.000000
1772597785.825000,766366.000000,1164596.000000,-8056.000000
1772597785.865000,766409.000000,1164767.000000,-7780.000000
1772597785.905000,766512.000000,1164778.000000,-7423.000000
1772597785.945000,766616.000000,1164937.000000,-7102.000000
1772597785.985000,766682.000000,1165134.000000,-6629.000000
1772597786.025000,766696.000000,1165155.000000,-6094.000000
1772597786.065000,766756.000000,1165357.000000,-5584.000000
1772597786.105000,766834.000000,1165467.000000,-5009.000000
1772597786.145000,767118.000000,1165797.000000,-4425.000000
1772597786.185000,767182.000000,1165950.000000,-3823.000000
1772597786.225000,767165.000000,1165980.000000,-3085.000000
1772597786.265000,767175.000000,1166121.000000,-2481.000000
1772597786.305000,767155.000000,1166140.000000,-1823.000000
1772597786.345000,767003.000000,1165550.000000,-1962.000000
1772597786.385000,766794.000000,1165007.000000,-2823.000000
1772597786.425000,766577.000000,1164656.000000,-3907.000000
1772597786.465000,766472.000000,1164487.000000,-4772.000000
1772597786.505000,766423.000000,1164429.000000,-5349.000000
1772597786.545000,766379.000000,1164316.000000,-5864.000000
1772597786.585000,766343.000000,1164298.000000,-6212.000000
1772597786.625000,766256.000000,1164179.000000,-6371.000000
1772597786.665000,766112.000000,1164005.000000,-6594.000000
1772597786.705000,765896.000000,1163788.000000,-6861.000000
1772597786.745000,765784.000000,1163632.000000,-7019.000000
1772597786.785000,765769.000000,1163573.000000,-7094.000000
1772597786.825000,765827.000000,1163719.000000,-7015.000000
1772597786.865000,765750.000000,1163675.000000,-6731.000000
1772597786.905000,765686.000000,1163724.000000,-6520.000000
1772597786.945000,765701.000000,1163785.000000,-6185.000000
1772597786.985000,765513.000000,1163561.000000,-5848.000000
1772597787.025000,765464.000000,1163455.000000,-5395.000000
1772597787.065000,765416.000000,1163492.000000,-5055.000000
1772597787.105000,765336.000000,1163515.000000,-4541.000000
1772597787.145000,765376.000000,1163592.000000,-4031.000000
1772597787.185000,765411.000000,1163645.000000,-3437.000000
1772597787.225000,765537.000000,1163854.000000,-2827.000000
1772597787.265000,765559.000000,1163982.000000,-2195.000000
1772597787.305000,765573.000000,1163832.000000,-1513.000000
1772597787.345000,765348.000000,1163318.000000,-1700.000000
1772597787.385000,765117.000000,1162901.000000,-2601.000000
1772597787.425000,765140.000000,1162802.000000,-3708.000000
1772597787.465000,765278.000000,1162835.000000,-4479.000000
1772597787.505000,765353.000000,1162936.000000,-5106.000000
1772597787.545000,765545.000000,1163090.000000,-5616.000000
1772597787.585000,765711.000000,1163309.000000,-5772.000000
1772597787.625000,765885.000000,1163590.000000,-5869.000000
1772597787.665000,766215.000000,1163889.000000,-6050.000000
1772597787.705000,766371.000000,1164044.000000,-6286.000000
1772597787.745000,766627.000000,1164385.000000,-6430.000000
1772597787.785000,766962.000000,1164909.000000,-6445.000000
1772597787.825000,767183.000000,1165150.000000,-6258.000000
1772597787.865000,767145.000000,1165120.000000,-6065.000000
1772597787.905000,767338.000000,1165414.000000,-5722.000000
1772597787.945000,767666.000000,1165841.000000,-5328.000000
1772597787.985000,768026.000000,1166224.000000,-4995.000000
1772597788.025000,768229.000000,1166607.000000,-4469.000000
1772597788.065000,768470.000000,1166944.000000,-3971.000000
1772597788.105000,768764.000000,1167240.000000,-3467.000000
1772597788.145000,769035.000000,1167630.000000,-2925.000000
1772597788.185000,769107.000000,1167888.000000,-2244.000000
1772597788.225000,769252.000000,1167935.000000,-1616.000000
1772597788.265000,769331.000000,1168005.000000,-1214.000000
1772597788.305000,769333.000000,1167592.000000,-1651.000000
1772597788.345000,769260.000000,1167331.000000,-2787.000000
1772597788.385000,769402.000000,1167279.000000,-3884.000000
1772597788.425000,769603.000000,1167583.000000,-4672.000000
1772597788.465000,769776.000000,1167652.000000,-5221.000000
1772597788.505000,769874.000000,1167831.000000,-5725.000000
1772597788.545000,770045.000000,1168079.000000,-5917.000000
1772597788.585000,770147.000000,1168215.000000,-6097.000000
1772597788.625000,770125.000000,1168190.000000,-6321.000000
1772597788.665000,770170.000000,1168066.000000,-6612.000000
1772597788.705000,770336.000000,1168309.000000,-6732.000000
1772597788.745000,770563.000000,1168618.000000,-6699.000000
1772597788.785000,770621.000000,1168646.000000,-6572.000000
